Input,1,2,3,4,5,6,7,8,9,10
itineraries.0,0.018,0.019,0.017,0.019,0.018,0.016,0.020,0.019,0.019,0.022
itineraries.1,0.023,0.022,0.020,0.023,0.022,0.022,0.022,0.023,0.022,0.021
itineraries.2,1.021,1.002,1.033,0.960,0.898,0.817,0.800,0.809,0.809,0.840
itineraries.3,3.224,3.477,3.166,4.024,4.093,2.920,2.975,2.918,2.984,2.912
itineraries.4,3.216,3.289,3.250,3.220,3.311,3.280,3.285,3.324,3.197,3.308
itineraries.5,1.601,1.637,1.618,1.598,1.632,1.622,1.641,1.630,1.588,1.599
itineraries.6,4.205,3.929,3.827,5.048,5.227,5.260,3.799,3.889,3.600,3.574
itineraries.7,3.576,3.581,3.656,3.582,3.822,3.608,3.663,3.638,3.603,3.635
itineraries.8,3.569,3.621,3.545,3.608,3.655,4.042,4.850,3.926,3.597,3.578
itineraries.9,3.665,3.698,3.784,3.616,3.583,3.583,3.624,3.563,3.681,3.581
